subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,reactionStatus
30,4,1,0,24,EVENT_NON_MAT_ONCOMING,1
31,1,1,0,3,EVENT_NON_MAT_ONCOMING,0
31,2,1,1,8,EVENT_NON_MAT_ONCOMING,0
31,3,0,1,15,EVENT_NON_MAT_ONCOMING,1
31,4,0,0,20,EVENT_NON_MAT_ONCOMING,0
32,1,1,0,6,EVENT_NON_MAT_ONCOMING,1
32,2,1,1,8,EVENT_NON_MAT_ONCOMING,1
32,3,0,0,17,EVENT_NON_MAT_ONCOMING,1
32,4,0,1,23,EVENT_NON_MAT_ONCOMING,1
33,1,1,0,5,EVENT_NON_MAT_ONCOMING,1
33,2,0,1,8,EVENT_NON_MAT_ONCOMING,0
33,3,1,1,18,EVENT_NON_MAT_ONCOMING,1
33,4,0,0,20,EVENT_NON_MAT_ONCOMING,0
34,1,1,0,5,EVENT_NON_MAT_ONCOMING,1
34,2,0,1,9,EVENT_NON_MAT_ONCOMING,1
34,3,0,0,14,EVENT_NON_MAT_ONCOMING,0
34,4,1,1,23,EVENT_NON_MAT_ONCOMING,1
35,1,1,0,5,EVENT_NON_MAT_ONCOMING,1
35,2,0,0,12,EVENT_NON_MAT_ONCOMING,1
35,3,1,1,18,EVENT_NON_MAT_ONCOMING,1
35,4,0,1,24,EVENT_NON_MAT_ONCOMING,1
36,1,1,0,4,EVENT_NON_MAT_ONCOMING,1
36,2,0,0,7,EVENT_NON_MAT_ONCOMING,0
36,3,0,1,14,EVENT_NON_MAT_ONCOMING,0
36,4,1,1,23,EVENT_NON_MAT_ONCOMING,1
37,1,0,1,3,EVENT_NON_MAT_ONCOMING,1
37,2,1,1,9,EVENT_NON_MAT_ONCOMING,1
37,3,1,0,13,EVENT_NON_MAT_ONCOMING,0
37,4,0,0,19,EVENT_NON_MAT_ONCOMING,0
38,1,0,1,3,EVENT_NON_MAT_ONCOMING,1
38,2,1,1,12,EVENT_NON_MAT_ONCOMING,1
38,3,0,0,14,EVENT_NON_MAT_ONCOMING,0
38,4,1,0,23,EVENT_NON_MAT_ONCOMING,0
39,1,0,1,3,EVENT_NON_MAT_ONCOMING,1
39,2,1,0,10,EVENT_NON_MAT_ONCOMING,0
39,3,1,1,17,EVENT_NON_MAT_ONCOMING,0
