subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,ttc,transformedTimeToFirstManoevres
22,2,1,0,11,EVENT_MAT_LEFT_VRU,0.95,2.240115182,6.95
22,3,0,1,14,EVENT_MAT_LEFT_VRU,-4.2833,6.500523976,1.7167
22,4,1,1,21,EVENT_MAT_LEFT_VRU,-2.5333,4.858792191,3.4667
23,1,0,0,4,EVENT_MAT_LEFT_VRU,0.65,2.578973923,6.65
23,2,0,1,9,EVENT_MAT_LEFT_VRU,0.95,2.532014572,6.95
23,3,1,1,16,EVENT_MAT_LEFT_VRU,1.4,2.350062455,7.4
23,4,1,0,24,EVENT_MAT_LEFT_VRU,0.45,2.729187993,6.45
25,1,1,1,3,EVENT_MAT_LEFT_VRU,1.0334,2.668255005,7.0334
25,2,1,0,12,EVENT_MAT_LEFT_VRU,0.6667,2.522787497,6.6667
25,3,0,1,13,EVENT_MAT_LEFT_VRU,0.7,2.552199121,6.7
25,4,0,0,21,EVENT_MAT_LEFT_VRU,0.6667,2.519387548,6.6667
26,1,1,1,2,EVENT_MAT_LEFT_VRU,-0.0667,2.738402922,5.9333
26,2,1,0,8,EVENT_MAT_LEFT_VRU,0.3833,2.823494026,6.3833
26,4,0,1,20,EVENT_MAT_LEFT_VRU,0.4,2.847107001,6.4
27,1,1,1,5,EVENT_MAT_LEFT_VRU,0.6667,0.527301112,6.6667
27,2,0,1,12,EVENT_MAT_LEFT_VRU,-0.6166,2.527549055,5.3834
27,3,1,0,17,EVENT_MAT_LEFT_VRU,0.65,2.558967217,6.65
27,4,0,0,20,EVENT_MAT_LEFT_VRU,0.6334,2.560966993,6.6334
28,1,1,1,4,EVENT_MAT_LEFT_VRU,0.6333,2.977932684,6.6333
28,2,0,1,9,EVENT_MAT_LEFT_VRU,0.75,2.359039698,6.75
28,3,0,0,18,EVENT_MAT_LEFT_VRU,1.1,2.117823295,7.1
28,4,1,0,24,EVENT_MAT_LEFT_VRU,0.7333,2.441355284,6.7333
29,1,1,1,2,EVENT_MAT_LEFT_VRU,-1.65,4.962767746,4.35
29,2,0,0,11,EVENT_MAT_LEFT_VRU,0.4833,2.721528708,6.4833
29,3,1,0,13,EVENT_MAT_LEFT_VRU,0.1334,3.091657759,6.1334
29,4,0,1,23,EVENT_MAT_LEFT_VRU,-3.3,5.939251122,2.7
30,1,1,1,4,EVENT_MAT_LEFT_VRU,-1.85,7.561995142,4.15
30,2,0,0,7,EVENT_MAT_LEFT_VRU,0.5334,2.640868924,6.5334
30,3,0,1,13,EVENT_MAT_LEFT_VRU,0.05,3.761265931,6.05
30,4,1,0,20,EVENT_MAT_LEFT_VRU,-0.05,3.258081739,5.95
31,1,1,0,4,EVENT_MAT_LEFT_VRU,0.3,2.919435454,6.3
31,3,0,1,14,EVENT_MAT_LEFT_VRU,1,3.185726678,7
31,4,0,0,22,EVENT_MAT_LEFT_VRU,0.95,2.237534496,6.95
32,1,1,0,2,EVENT_MAT_LEFT_VRU,0.5166,2.698145418,6.5166
32,2,1,1,7,EVENT_MAT_LEFT_VRU,1.4333,4.751735342,7.4333
32,3,0,0,16,EVENT_MAT_LEFT_VRU,0.9833,2.215530414,6.9833
32,4,0,1,24,EVENT_MAT_LEFT_VRU,0.8333,1.54679136,6.8333
33,1,1,0,6,EVENT_MAT_LEFT_VRU,0.55,2.650572967,6.55
33,2,0,1,9,EVENT_MAT_LEFT_VRU,1.3166,2.777184893,7.3166
33,3,1,1,14,EVENT_MAT_LEFT_VRU,0.7833,3.117183712,6.7833
33,4,0,0,22,EVENT_MAT_LEFT_VRU,0.4834,2.744385067,6.4834
34,1,1,0,3,EVENT_MAT_LEFT_VRU,0.25,2.917499962,6.25
34,2,0,1,7,EVENT_MAT_LEFT_VRU,-2.2,5.818764404,3.8
34,3,0,0,16,EVENT_MAT_LEFT_VRU,0.4833,2.708149854,6.4833
34,4,1,1,24,EVENT_MAT_LEFT_VRU,0.2667,3.628473238,6.2667
35,1,1,0,1,EVENT_MAT_LEFT_VRU,0.5334,2.652898905,6.5334
