subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
35,1,1,0,1,EVENT_MAT_LEFT_VRU,2.133467
35,2,0,0,8,EVENT_MAT_LEFT_VRU,0.505734
35,3,1,1,15,EVENT_MAT_LEFT_VRU,1.1486
35,4,0,1,19,EVENT_MAT_LEFT_VRU,1.945808
36,1,1,0,5,EVENT_MAT_LEFT_VRU,0.365011
36,2,0,0,11,EVENT_MAT_LEFT_VRU,1.186779
36,3,0,1,17,EVENT_MAT_LEFT_VRU,1.744919
36,4,1,1,22,EVENT_MAT_LEFT_VRU,0.31719
37,1,0,1,6,EVENT_MAT_LEFT_VRU,1.911661
37,2,1,1,11,EVENT_MAT_LEFT_VRU,1.037568
37,3,1,0,15,EVENT_MAT_LEFT_VRU,6.077892
37,4,0,0,24,EVENT_MAT_LEFT_VRU,5.074032
38,1,0,1,4,EVENT_MAT_LEFT_VRU,0.908699
38,2,1,1,10,EVENT_MAT_LEFT_VRU,1.731726
38,3,0,0,15,EVENT_MAT_LEFT_VRU,3.540203
38,4,1,0,22,EVENT_MAT_LEFT_VRU,3.69447
39,1,0,1,2,EVENT_MAT_LEFT_VRU,2.40023
39,2,1,0,8,EVENT_MAT_LEFT_VRU,2.220324
39,3,1,1,16,EVENT_MAT_LEFT_VRU,0.33434
40,1,0,1,6,EVENT_MAT_LEFT_VRU,0.831326
40,2,1,0,7,EVENT_MAT_LEFT_VRU,3.488219
40,3,0,0,18,EVENT_MAT_LEFT_VRU,2.005797
40,4,1,1,20,EVENT_MAT_LEFT_VRU,2.534016
41,1,0,1,2,EVENT_MAT_LEFT_VRU,3.068813
41,2,0,0,8,EVENT_MAT_LEFT_VRU,3.686062
41,3,1,0,17,EVENT_MAT_LEFT_VRU,0.25717
41,4,1,1,23,EVENT_MAT_LEFT_VRU,1.603046
43,1,0,0,5,EVENT_MAT_LEFT_VRU,0.394278
43,2,1,1,9,EVENT_MAT_LEFT_VRU,1.457149
43,3,1,0,15,EVENT_MAT_LEFT_VRU,4.174183
43,4,0,1,22,EVENT_MAT_LEFT_VRU,3.762753
44,1,0,0,5,EVENT_MAT_LEFT_VRU,3.720549
44,2,1,1,8,EVENT_MAT_LEFT_VRU,0.770125
44,3,0,1,17,EVENT_MAT_LEFT_VRU,3.212231
44,4,1,0,23,EVENT_MAT_LEFT_VRU,0.16243
45,1,0,0,3,EVENT_MAT_LEFT_VRU,0.377174
45,2,1,0,7,EVENT_MAT_LEFT_VRU,0.36004
45,3,1,1,14,EVENT_MAT_LEFT_VRU,0.600072
45,4,0,1,19,EVENT_MAT_LEFT_VRU,1.611631
46,1,0,0,2,EVENT_MAT_LEFT_VRU,4.031838
46,2,1,0,11,EVENT_MAT_LEFT_VRU,1.945732
46,3,0,1,13,EVENT_MAT_LEFT_VRU,2.27031
46,4,1,1,24,EVENT_MAT_LEFT_VRU,2.254288
47,1,0,0,5,EVENT_MAT_LEFT_VRU,4.48812
47,2,0,1,7,EVENT_MAT_LEFT_VRU,3.085583
47,3,1,1,16,EVENT_MAT_LEFT_VRU,2.544657
48,1,0,0,1,EVENT_MAT_LEFT_VRU,1.388772
48,2,0,1,8,EVENT_MAT_LEFT_VRU,1.174452
48,3,1,0,17,EVENT_MAT_LEFT_VRU,0.008573
48,4,1,1,20,EVENT_MAT_LEFT_VRU,0.625794
49,1,1,0,6,EVENT_MAT_LEFT_VRU,1.748054
49,2,1,1,11,EVENT_MAT_LEFT_VRU,0.804157
49,3,0,1,15,EVENT_MAT_LEFT_VRU,2.348852
49,4,0,0,19,EVENT_MAT_LEFT_VRU,0.771533
50,1,1,0,2,EVENT_MAT_LEFT_VRU,3.771754
50,2,0,1,7,EVENT_MAT_LEFT_VRU,3.206206
