subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
34,2,0,1,9,EVENT_NON_MAT_ONCOMING,0.042864
34,3,0,0,14,EVENT_NON_MAT_ONCOMING,0
34,4,1,1,23,EVENT_NON_MAT_ONCOMING,0.142649
35,1,1,0,5,EVENT_NON_MAT_ONCOMING,0.077145
35,2,0,0,12,EVENT_NON_MAT_ONCOMING,3.531554
35,3,1,1,18,EVENT_NON_MAT_ONCOMING,1.685091
35,4,0,1,24,EVENT_NON_MAT_ONCOMING,1.037194
36,1,1,0,4,EVENT_NON_MAT_ONCOMING,1.058061
36,2,0,0,7,EVENT_NON_MAT_ONCOMING,0.045418
36,3,0,1,14,EVENT_NON_MAT_ONCOMING,0.677223
36,4,1,1,23,EVENT_NON_MAT_ONCOMING,0.077155
37,1,0,1,3,EVENT_NON_MAT_ONCOMING,1.353821
37,2,1,1,9,EVENT_NON_MAT_ONCOMING,1.156369
37,3,1,0,13,EVENT_NON_MAT_ONCOMING,5.717841
37,4,0,0,19,EVENT_NON_MAT_ONCOMING,0.29642
38,1,0,1,3,EVENT_NON_MAT_ONCOMING,0.994417
38,2,1,1,12,EVENT_NON_MAT_ONCOMING,0.471506
38,3,0,0,14,EVENT_NON_MAT_ONCOMING,2.485885
38,4,1,0,23,EVENT_NON_MAT_ONCOMING,1.757218
39,1,0,1,3,EVENT_NON_MAT_ONCOMING,4.423315
39,2,1,0,10,EVENT_NON_MAT_ONCOMING,1.472801
39,3,1,1,17,EVENT_NON_MAT_ONCOMING,0.053386
40,1,0,1,2,EVENT_NON_MAT_ONCOMING,0
40,2,1,0,11,EVENT_NON_MAT_ONCOMING,0.127787
40,3,0,0,16,EVENT_NON_MAT_ONCOMING,0.240038
40,4,1,1,22,EVENT_NON_MAT_ONCOMING,0.694333
41,1,0,1,4,EVENT_NON_MAT_ONCOMING,1.100952
41,2,0,0,10,EVENT_NON_MAT_ONCOMING,4.200387
41,3,1,0,16,EVENT_NON_MAT_ONCOMING,0.728649
41,4,1,1,24,EVENT_NON_MAT_ONCOMING,0.222883
43,1,0,0,3,EVENT_NON_MAT_ONCOMING,0.111428
43,2,1,1,8,EVENT_NON_MAT_ONCOMING,0.585334
43,3,1,0,17,EVENT_NON_MAT_ONCOMING,2.003623
