subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,transformedTimeToFirstManoevres,ttc
19,4,0,1,23,EVENT_MAT_RIGHT_VRU,0.8833,4.8833,3.242371632
22,1,0,0,3,EVENT_MAT_RIGHT_VRU,NA,NA,NA
22,2,1,0,12,EVENT_MAT_RIGHT_VRU,1.3167,5.3167,2.329221483
22,3,0,1,17,EVENT_MAT_RIGHT_VRU,-3.2167,0.7833,5.353014099
22,4,1,1,23,EVENT_MAT_RIGHT_VRU,-1.2167,2.7833,4.312517699
23,1,0,0,1,EVENT_MAT_RIGHT_VRU,0.7334,4.7334,2.927549538
23,2,0,1,12,EVENT_MAT_RIGHT_VRU,0.6333,4.6333,3.256756342
23,3,1,1,17,EVENT_MAT_RIGHT_VRU,1,5,2.882530333
23,4,1,0,21,EVENT_MAT_RIGHT_VRU,1.1166,5.1166,2.526453097
25,1,1,1,4,EVENT_MAT_RIGHT_VRU,0.8667,4.8667,3.494542063
25,2,1,0,9,EVENT_MAT_RIGHT_VRU,0.8333,4.8333,2.828724796
25,3,0,1,14,EVENT_MAT_RIGHT_VRU,1.05,5.05,3.083624744
25,4,0,0,23,EVENT_MAT_RIGHT_VRU,0.7834,4.7834,2.879341232
26,1,1,1,4,EVENT_MAT_RIGHT_VRU,0.4834,4.4834,2.627692111
26,2,1,0,7,EVENT_MAT_RIGHT_VRU,1.3833,5.3833,2.292477244
26,4,0,1,23,EVENT_MAT_RIGHT_VRU,0.6334,4.6334,2.387155396
27,1,1,1,1,EVENT_MAT_RIGHT_VRU,0.4,4.4,2.632560845
27,2,0,1,7,EVENT_MAT_RIGHT_VRU,-3.1,0.9,5.524580868
27,3,1,0,16,EVENT_MAT_RIGHT_VRU,0.6167,4.6167,3.036415641
27,4,0,0,19,EVENT_MAT_RIGHT_VRU,1.0333,5.0333,2.61798311
28,1,1,1,3,EVENT_MAT_RIGHT_VRU,0.5666,4.5666,3.279655114
28,2,0,1,7,EVENT_MAT_RIGHT_VRU,1.1834,5.1834,2.987289272
28,3,0,0,13,EVENT_MAT_RIGHT_VRU,0.8833,4.8833,2.789138078
28,4,1,0,20,EVENT_MAT_RIGHT_VRU,0.95,4.95,2.698117895
29,1,1,1,1,EVENT_MAT_RIGHT_VRU,1.4167,5.4167,2.574926198
29,2,0,0,10,EVENT_MAT_RIGHT_VRU,0.9834,4.9834,2.674460445
29,3,1,0,15,EVENT_MAT_RIGHT_VRU,0.9333,4.9333,2.723521848
29,4,0,1,21,EVENT_MAT_RIGHT_VRU,0.1,4.1,2.517222455
30,1,1,1,2,EVENT_MAT_RIGHT_VRU,0.2333,4.2333,2.90725184
30,2,0,0,11,EVENT_MAT_RIGHT_VRU,-0.55,3.45,4.195248813
30,3,0,1,18,EVENT_MAT_RIGHT_VRU,-1.0833,2.9167,4.671836504
