subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
36,3,0,1,15,EVENT_MAT_ONCOMING,1.10585
36,4,1,1,20,EVENT_MAT_ONCOMING,0
37,1,0,1,2,EVENT_MAT_ONCOMING,3.480295
37,2,1,1,7,EVENT_MAT_ONCOMING,1.217337
37,3,1,0,17,EVENT_MAT_ONCOMING,6.129313
37,4,0,0,22,EVENT_MAT_ONCOMING,1.174434
38,1,0,1,2,EVENT_MAT_ONCOMING,0.15744
38,2,1,1,9,EVENT_MAT_ONCOMING,0.709819
38,3,0,0,13,EVENT_MAT_ONCOMING,3.875488
38,4,1,0,20,EVENT_MAT_ONCOMING,0.214297
39,1,0,1,4,EVENT_MAT_ONCOMING,3.970846
39,3,1,1,13,EVENT_MAT_ONCOMING,3.20619
40,1,0,1,5,EVENT_MAT_ONCOMING,1.439845
40,2,1,0,8,EVENT_MAT_ONCOMING,1.002739
40,3,0,0,14,EVENT_MAT_ONCOMING,0
40,4,1,1,19,EVENT_MAT_ONCOMING,0
41,1,0,1,3,EVENT_MAT_ONCOMING,4.988971
41,2,0,0,9,EVENT_MAT_ONCOMING,5.794827
41,3,1,0,15,EVENT_MAT_ONCOMING,0.831518
41,4,1,1,21,EVENT_MAT_ONCOMING,0.735446
43,1,0,0,1,EVENT_MAT_ONCOMING,0.068574
43,2,1,1,12,EVENT_MAT_ONCOMING,0
43,3,1,0,14,EVENT_MAT_ONCOMING,0.126401
43,4,0,1,24,EVENT_MAT_ONCOMING,0
44,1,0,0,3,EVENT_MAT_ONCOMING,0.214318
44,2,1,1,9,EVENT_MAT_ONCOMING,0.222892
44,3,0,1,18,EVENT_MAT_ONCOMING,0.111445
44,4,1,0,21,EVENT_MAT_ONCOMING,0.086682
45,1,0,0,1,EVENT_MAT_ONCOMING,0.74577
45,2,1,0,11,EVENT_MAT_ONCOMING,0
45,3,1,1,13,EVENT_MAT_ONCOMING,1.157284
45,4,0,1,23,EVENT_MAT_ONCOMING,0.102869
46,1,0,0,6,EVENT_MAT_ONCOMING,1.944849
46,2,1,0,7,EVENT_MAT_ONCOMING,0.891456
46,3,0,1,18,EVENT_MAT_ONCOMING,0.128571
46,4,1,1,19,EVENT_MAT_ONCOMING,0.042858
47,1,0,0,4,EVENT_MAT_ONCOMING,0.420708
47,2,0,1,10,EVENT_MAT_ONCOMING,0.519244
47,3,1,1,13,EVENT_MAT_ONCOMING,4.179041
48,1,0,0,2,EVENT_MAT_ONCOMING,0.030647
48,2,0,1,12,EVENT_MAT_ONCOMING,0.317185
48,3,1,0,16,EVENT_MAT_ONCOMING,0
48,4,1,1,21,EVENT_MAT_ONCOMING,0.327543
49,1,1,0,5,EVENT_MAT_ONCOMING,0
49,2,1,1,8,EVENT_MAT_ONCOMING,0.079068
49,3,0,1,13,EVENT_MAT_ONCOMING,0.146845
49,4,0,0,23,EVENT_MAT_ONCOMING,0.042863
50,1,1,0,5,EVENT_MAT_ONCOMING,0.445762
50,2,0,1,8,EVENT_MAT_ONCOMING,0
50,3,1,1,17,EVENT_MAT_ONCOMING,0.222894
50,4,0,0,19,EVENT_MAT_ONCOMING,0
51,1,0,1,2,EVENT_MAT_ONCOMING,0.030673
51,2,1,1,10,EVENT_MAT_ONCOMING,0
51,3,0,0,18,EVENT_MAT_ONCOMING,1.320188
51,4,1,0,19,EVENT_MAT_ONCOMING,0.068581
52,1,0,1,1,EVENT_MAT_ONCOMING,0
52,2,1,0,7,EVENT_MAT_ONCOMING,0.365966
52,3,0,0,13,EVENT_MAT_ONCOMING,0.514344
52,4,1,1,23,EVENT_MAT_ONCOMING,2.340275
53,1,0,0,4,EVENT_MAT_ONCOMING,2.323166
53,2,1,0,10,EVENT_MAT_ONCOMING,0.128591
53,3,1,1,18,EVENT_MAT_ONCOMING,0
53,4,0,1,19,EVENT_MAT_ONCOMING,0.505791
