subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstRelevantManeuvres,transformedTimeToFirstRelevantManeuvres,ttc
22,4,1,1,19,EVENT_MAT_ONCOMING,-1.9,4.1,4.933848139
23,1,0,0,6,EVENT_MAT_ONCOMING,0.9167,6.9167,1.579651115
23,2,0,1,11,EVENT_MAT_ONCOMING,0.7,6.7,1.667357408
23,3,1,1,18,EVENT_MAT_ONCOMING,0.8666,6.8666,1.837610215
23,4,1,0,20,EVENT_MAT_ONCOMING,-0.4333,5.5667,2.891778574
25,1,1,1,5,EVENT_MAT_ONCOMING,-2.7,3.3,4.180582106
25,2,1,0,10,EVENT_MAT_ONCOMING,0.4834,6.4834,2.017441642
25,3,0,1,17,EVENT_MAT_ONCOMING,-0.8334,5.1666,2.575992256
25,4,0,0,19,EVENT_MAT_ONCOMING,0.4,6.4,2.040888809
26,1,1,1,3,EVENT_MAT_ONCOMING,-3.05,2.95,5.031224425
26,2,1,0,11,EVENT_MAT_ONCOMING,0.3667,6.3667,2.113616541
26,4,0,1,19,EVENT_MAT_ONCOMING,0.2667,6.2667,1.880679446
27,1,1,1,6,EVENT_MAT_ONCOMING,-2.8333,3.1667,5.1385255
27,2,0,1,11,EVENT_MAT_ONCOMING,-2.6,3.4,5.715400507
27,3,1,0,18,EVENT_MAT_ONCOMING,-1.8667,4.1333,4.376963548
27,4,0,0,24,EVENT_MAT_ONCOMING,-0.0834,5.9166,2.579489146
28,1,1,1,6,EVENT_MAT_ONCOMING,-3.9166,2.0834,7.195816322
28,2,0,1,11,EVENT_MAT_ONCOMING,0.5833,6.5833,2.383302391
28,3,0,0,17,EVENT_MAT_ONCOMING,0.2666,6.2666,2.252572779
28,4,1,0,23,EVENT_MAT_ONCOMING,0.35,6.35,2.165200045
29,1,1,1,3,EVENT_MAT_ONCOMING,-3.7667,2.2333,6.584549415
29,2,0,0,8,EVENT_MAT_ONCOMING,0.45,6.45,1.997187674
29,3,1,0,14,EVENT_MAT_ONCOMING,0.4,6.4,2.065226051
29,4,0,1,24,EVENT_MAT_ONCOMING,-3.3167,2.6833,7.604022493
30,1,1,1,1,EVENT_MAT_ONCOMING,0.6,6.6,1.428321166
30,2,0,0,8,EVENT_MAT_ONCOMING,0.4,6.4,2.044512282
30,3,0,1,14,EVENT_MAT_ONCOMING,-3.5333,2.4667,6.893760974
30,4,1,0,22,EVENT_MAT_ONCOMING,-1.5666,4.4334,4.093375285
31,1,1,0,5,EVENT_MAT_ONCOMING,0.75,6.75,1.769872118
31,2,1,1,9,EVENT_MAT_ONCOMING,-2.35,3.65,4.927260524
31,3,0,1,18,EVENT_MAT_ONCOMING,-2.45,3.55,5.901317146
31,4,0,0,21,EVENT_MAT_ONCOMING,0.95,6.95,1.551741529
32,1,1,0,5,EVENT_MAT_ONCOMING,0.6834,6.6834,1.841167571
32,2,1,1,9,EVENT_MAT_ONCOMING,0.6334,6.6334,1.099423004
32,3,0,0,14,EVENT_MAT_ONCOMING,0.8834,6.8834,1.627533682
32,4,0,1,20,EVENT_MAT_ONCOMING,-5.8,0.2,8.908461396
33,1,1,0,3,EVENT_MAT_ONCOMING,0.5834,6.5834,1.921773848
33,2,0,1,11,EVENT_MAT_ONCOMING,0.6334,6.6334,2.289845409
33,3,1,1,13,EVENT_MAT_ONCOMING,0.6,6.6,1.1475366
33,4,0,0,24,EVENT_MAT_ONCOMING,0.35,6.35,2.168462042
34,1,1,0,1,EVENT_MAT_ONCOMING,0.4667,6.4667,1.980505796
34,2,0,1,12,EVENT_MAT_ONCOMING,0.5667,6.5667,0.900085352
34,3,0,0,15,EVENT_MAT_ONCOMING,-3.0333,2.9667,5.531252588
34,4,1,1,21,EVENT_MAT_ONCOMING,-2.5167,3.4833,5.652485058
35,1,1,0,3,EVENT_MAT_ONCOMING,0.5834,6.5834,1.815096922
35,2,0,0,10,EVENT_MAT_ONCOMING,-1.5167,4.4833,4.027656532
35,3,1,1,16,EVENT_MAT_ONCOMING,-3.6834,2.3166,6.402906973
35,4,0,1,20,EVENT_MAT_ONCOMING,-4.3666,1.6334,6.400492468
36,1,1,0,2,EVENT_MAT_ONCOMING,0.5,6.5,1.948681467
36,2,0,0,10,EVENT_MAT_ONCOMING,-2,4,5.755257549
36,3,0,1,15,EVENT_MAT_ONCOMING,-3.6666,2.3334,6.767380988
36,4,1,1,20,EVENT_MAT_ONCOMING,-1.7833,4.2167,4.800884048
37,1,0,1,2,EVENT_MAT_ONCOMING,0.7833,6.7833,2.28919974
37,2,1,1,7,EVENT_MAT_ONCOMING,-4.6333,1.3667,6.503602567
37,3,1,0,17,EVENT_MAT_ONCOMING,0.7167,6.7167,1.794805664
37,4,0,0,22,EVENT_MAT_ONCOMING,0.9,6.9,1.614999361
38,1,0,1,2,EVENT_MAT_ONCOMING,-4.4334,1.5666,5.410818783
38,2,1,1,9,EVENT_MAT_ONCOMING,-3.4167,2.5833,4.813945405
38,3,0,0,13,EVENT_MAT_ONCOMING,0.6167,6.6167,1.860543628
38,4,1,0,20,EVENT_MAT_ONCOMING,-1.0167,4.9833,3.477732063
39,1,0,1,4,EVENT_MAT_ONCOMING,0.7,6.7,0.704544083
39,2,1,0,7,EVENT_MAT_ONCOMING,NaN,NaN,NaN
39,3,1,1,13,EVENT_MAT_ONCOMING,1.2666,7.2666,1.071764885
39,4,0,0,19,EVENT_MAT_ONCOMING,1.1,7.1,1.35925445
40,1,0,1,5,EVENT_MAT_ONCOMING,-4.45,1.55,6.699619711
40,2,1,0,8,EVENT_MAT_ONCOMING,0.4166,6.4166,2.049946553
40,3,0,0,14,EVENT_MAT_ONCOMING,-2.35,3.65,4.798819597
40,4,1,1,19,EVENT_MAT_ONCOMING,-1.65,4.35,4.25673189
41,1,0,1,3,EVENT_MAT_ONCOMING,-2.85,3.15,4.789111206
41,2,0,0,9,EVENT_MAT_ONCOMING,-3.4,2.6,5.893634463
41,3,1,0,15,EVENT_MAT_ONCOMING,-2.5833,3.4167,5.096959935
41,4,1,1,21,EVENT_MAT_ONCOMING,-2.1,3.9,4.180882661
43,1,0,0,1,EVENT_MAT_ONCOMING,0.9333,6.9333,1.540451761
43,2,1,1,12,EVENT_MAT_ONCOMING,-5.3667,0.6333,6.828880225
43,3,1,0,14,EVENT_MAT_ONCOMING,-3.3333,2.6667,5.799567911
43,4,0,1,24,EVENT_MAT_ONCOMING,-1.2167,4.7833,4.580100676
44,1,0,0,3,EVENT_MAT_ONCOMING,-3.0667,2.9333,5.579372967
44,2,1,1,9,EVENT_MAT_ONCOMING,-1.4666,4.5334,4.689357554
44,3,0,1,18,EVENT_MAT_ONCOMING,0.6334,6.6334,2.734806374
44,4,1,0,21,EVENT_MAT_ONCOMING,0.4666,6.4666,2.056625355
45,1,0,0,1,EVENT_MAT_ONCOMING,0.5333,6.5333,1.940049081
45,2,1,0,11,EVENT_MAT_ONCOMING,-1.6167,4.3833,4.136426202
45,3,1,1,13,EVENT_MAT_ONCOMING,-3.1,2.9,4.92098299
45,4,0,1,23,EVENT_MAT_ONCOMING,-1.3667,4.6333,4.840223165
46,1,0,0,6,EVENT_MAT_ONCOMING,0.6833,6.6833,1.838652176
46,2,1,0,7,EVENT_MAT_ONCOMING,0.6334,6.6334,1.834583528
46,3,0,1,18,EVENT_MAT_ONCOMING,0.4667,6.4667,2.472619288
46,4,1,1,19,EVENT_MAT_ONCOMING,0.65,6.65,2.355451655
47,1,0,0,4,EVENT_MAT_ONCOMING,0.75,6.75,1.745050827
47,2,0,1,10,EVENT_MAT_ONCOMING,-4.05,1.95,6.814779914
47,3,1,1,13,EVENT_MAT_ONCOMING,-2.2,3.8,3.877338505
47,4,1,0,23,EVENT_MAT_ONCOMING,-2.9833,3.0167,5.487215567
48,1,0,0,2,EVENT_MAT_ONCOMING,0.4166,6.4166,2.035819818
48,2,0,1,12,EVENT_MAT_ONCOMING,-2,4,3.828877838
48,3,1,0,16,EVENT_MAT_ONCOMING,0.5,6.5,1.989368911
48,4,1,1,21,EVENT_MAT_ONCOMING,0.65,6.65,1.401237825
49,1,1,0,5,EVENT_MAT_ONCOMING,-1.0333,4.9667,3.542538922
49,2,1,1,8,EVENT_MAT_ONCOMING,0.5666,6.5666,2.998783019
49,3,0,1,13,EVENT_MAT_ONCOMING,-3.3666,2.6334,5.219434476
49,4,0,0,23,EVENT_MAT_ONCOMING,-1.65,4.35,4.233226494
50,1,1,0,5,EVENT_MAT_ONCOMING,0.8333,6.8333,1.688444481
50,2,0,1,8,EVENT_MAT_ONCOMING,-4.1667,1.8333,7.645965923
50,3,1,1,17,EVENT_MAT_ONCOMING,-4.7667,1.2333,6.252289817
50,4,0,0,19,EVENT_MAT_ONCOMING,-4.4666,1.5334,6.92920314
51,1,0,1,2,EVENT_MAT_ONCOMING,0.4167,6.4167,0.596382549
51,2,1,1,10,EVENT_MAT_ONCOMING,-3.5666,2.4334,6.730438989
51,3,0,0,18,EVENT_MAT_ONCOMING,-0.7667,5.2333,3.278222289
51,4,1,0,19,EVENT_MAT_ONCOMING,0.7,6.7,1.756880458
52,1,0,1,1,EVENT_MAT_ONCOMING,0.4667,6.4667,0.726608745
52,2,1,0,7,EVENT_MAT_ONCOMING,-2.4833,3.5167,5.815617424
52,3,0,0,13,EVENT_MAT_ONCOMING,-5.45,0.55,6.441790791
52,4,1,1,23,EVENT_MAT_ONCOMING,-1.5,4.5,6.736279898
53,1,0,0,4,EVENT_MAT_ONCOMING,0.5,6.5,1.192401739
53,2,1,0,10,EVENT_MAT_ONCOMING,-4.1,1.9,6.615160547
53,3,1,1,18,EVENT_MAT_ONCOMING,-3.6333,2.3667,7.765377457
53,4,0,1,19,EVENT_MAT_ONCOMING,-3.1666,2.8334,6.59236559
