subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
34,3,0,0,13,EVENT_MAT_RIGHT_VRU,0.231464
34,4,1,1,22,EVENT_MAT_RIGHT_VRU,0.137165
35,1,1,0,6,EVENT_MAT_RIGHT_VRU,1.208602
35,2,0,0,7,EVENT_MAT_RIGHT_VRU,1.219431
35,3,1,1,14,EVENT_MAT_RIGHT_VRU,2.108617
35,4,0,1,21,EVENT_MAT_RIGHT_VRU,1.839009
36,1,1,0,3,EVENT_MAT_RIGHT_VRU,3.2319
36,2,0,0,8,EVENT_MAT_RIGHT_VRU,0.017661
36,3,0,1,16,EVENT_MAT_RIGHT_VRU,1.693055
37,1,0,1,1,EVENT_MAT_RIGHT_VRU,1.382452
37,2,1,1,8,EVENT_MAT_RIGHT_VRU,2.683277
37,3,1,0,18,EVENT_MAT_RIGHT_VRU,5.340637
37,4,0,0,20,EVENT_MAT_RIGHT_VRU,2.4064
38,1,0,1,6,EVENT_MAT_RIGHT_VRU,0.942999
38,2,1,1,11,EVENT_MAT_RIGHT_VRU,1.263525
38,3,0,0,17,EVENT_MAT_RIGHT_VRU,2.000191
38,4,1,0,19,EVENT_MAT_RIGHT_VRU,0.787884
39,1,0,1,1,EVENT_MAT_RIGHT_VRU,1.542993
39,2,1,0,12,EVENT_MAT_RIGHT_VRU,1.140164
39,3,1,1,14,EVENT_MAT_RIGHT_VRU,1.971732
40,1,0,1,4,EVENT_MAT_RIGHT_VRU,1.825539
40,2,1,0,10,EVENT_MAT_RIGHT_VRU,0.84619
40,3,0,0,15,EVENT_MAT_RIGHT_VRU,1.088614
40,4,1,1,21,EVENT_MAT_RIGHT_VRU,0.453136
41,1,0,1,6,EVENT_MAT_RIGHT_VRU,3.154544
41,2,0,0,12,EVENT_MAT_RIGHT_VRU,2.40435
41,3,1,0,13,EVENT_MAT_RIGHT_VRU,0.560827
41,4,1,1,20,EVENT_MAT_RIGHT_VRU,2.185973
43,1,0,0,6,EVENT_MAT_RIGHT_VRU,1.66281
43,2,1,1,11,EVENT_MAT_RIGHT_VRU,1.019991
43,3,1,0,18,EVENT_MAT_RIGHT_VRU,0.719977
43,4,0,1,21,EVENT_MAT_RIGHT_VRU,0
44,1,0,0,2,EVENT_MAT_RIGHT_VRU,1.277339
44,2,1,1,11,EVENT_MAT_RIGHT_VRU,1.045873
44,3,0,1,14,EVENT_MAT_RIGHT_VRU,0
44,4,1,0,19,EVENT_MAT_RIGHT_VRU,4.680313
45,1,0,0,6,EVENT_MAT_RIGHT_VRU,0.565761
45,2,1,0,9,EVENT_MAT_RIGHT_VRU,0
45,3,1,1,17,EVENT_MAT_RIGHT_VRU,0.06858
45,4,0,1,22,EVENT_MAT_RIGHT_VRU,0.162878
46,1,0,0,4,EVENT_MAT_RIGHT_VRU,1.234314
46,2,1,0,8,EVENT_MAT_RIGHT_VRU,0
46,3,0,1,16,EVENT_MAT_RIGHT_VRU,0.454291
46,4,1,1,23,EVENT_MAT_RIGHT_VRU,0.102858
47,1,0,0,1,EVENT_MAT_RIGHT_VRU,4.628321
47,2,0,1,9,EVENT_MAT_RIGHT_VRU,5.389803
47,3,1,1,17,EVENT_MAT_RIGHT_VRU,6.491745
48,1,0,0,3,EVENT_MAT_RIGHT_VRU,0.051435
48,2,0,1,9,EVENT_MAT_RIGHT_VRU,0.771536
