subNumber,runNumber,lightCondition,automationState,eventNumber_Recoded,eventType,timeToFirstFixation_seconds
33,1,1,0,1,EVENT_NON_MAT_LEFT_VRU,0.701124
33,2,0,1,12,EVENT_NON_MAT_LEFT_VRU,3.231622
33,3,1,1,17,EVENT_NON_MAT_LEFT_VRU,1.688696
33,4,0,0,19,EVENT_NON_MAT_LEFT_VRU,0.222877
34,1,1,0,4,EVENT_NON_MAT_LEFT_VRU,0.514365
34,2,0,1,10,EVENT_NON_MAT_LEFT_VRU,0.960147
34,3,0,0,18,EVENT_NON_MAT_LEFT_VRU,0.467346
34,4,1,1,20,EVENT_NON_MAT_LEFT_VRU,0.30005
35,1,1,0,2,EVENT_NON_MAT_LEFT_VRU,2.303473
35,2,0,0,9,EVENT_NON_MAT_LEFT_VRU,0.360013
35,3,1,1,13,EVENT_NON_MAT_LEFT_VRU,2.074323
35,4,0,1,23,EVENT_NON_MAT_LEFT_VRU,1.448646
36,1,1,0,1,EVENT_NON_MAT_LEFT_VRU,0.14354
36,2,0,0,12,EVENT_NON_MAT_LEFT_VRU,2.423676
36,3,0,1,13,EVENT_NON_MAT_LEFT_VRU,0.397037
36,4,1,1,21,EVENT_NON_MAT_LEFT_VRU,0.745094
37,1,0,1,4,EVENT_NON_MAT_LEFT_VRU,3.163201
37,2,1,1,10,EVENT_NON_MAT_LEFT_VRU,0.874737
37,3,1,0,16,EVENT_NON_MAT_LEFT_VRU,4.303381
37,4,0,0,23,EVENT_NON_MAT_LEFT_VRU,1.328734
38,1,0,1,1,EVENT_NON_MAT_LEFT_VRU,2.228905
38,2,1,1,8,EVENT_NON_MAT_LEFT_VRU,2.014629
38,3,0,0,16,EVENT_NON_MAT_LEFT_VRU,2.322972
38,4,1,0,24,EVENT_NON_MAT_LEFT_VRU,2.37436
39,1,0,1,6,EVENT_NON_MAT_LEFT_VRU,3.231802
39,2,1,0,11,EVENT_NON_MAT_LEFT_VRU,0.368625
39,3,1,1,15,EVENT_NON_MAT_LEFT_VRU,1.903159
40,1,0,1,3,EVENT_NON_MAT_LEFT_VRU,1.314881
40,2,1,0,9,EVENT_NON_MAT_LEFT_VRU,1.41768
40,3,0,0,13,EVENT_NON_MAT_LEFT_VRU,2.305787
40,4,1,1,24,EVENT_NON_MAT_LEFT_VRU,0.805772
41,1,0,1,1,EVENT_NON_MAT_LEFT_VRU,0.874351
41,2,0,0,7,EVENT_NON_MAT_LEFT_VRU,4.245301
41,3,1,0,18,EVENT_NON_MAT_LEFT_VRU,3.077462
41,4,1,1,19,EVENT_NON_MAT_LEFT_VRU,1.303012
43,1,0,0,4,EVENT_NON_MAT_LEFT_VRU,2.972601
43,2,1,1,10,EVENT_NON_MAT_LEFT_VRU,2.533642
43,3,1,0,16,EVENT_NON_MAT_LEFT_VRU,3.608464
43,4,0,1,20,EVENT_NON_MAT_LEFT_VRU,1.862416
44,1,0,0,4,EVENT_NON_MAT_LEFT_VRU,1.514499
44,2,1,1,10,EVENT_NON_MAT_LEFT_VRU,0
